select|Select|CAD|CSC|Stock #|OD (in)|ID (in)|Free Length(in)|Rate (lbs/in)|Sugg. Max Defl (in)|Sugg. Max Load (lbs)|Solid Length (in)|Wire Dia. (in)|Total Coils|Material|Ends|Finish|
||ZZ3-9|0.125|0.970|1.400|0.200|0.740|1.200|0.016|Stainless|None|
||N-94|0.125|1.500|0.300|0.090|3.100|1.000|0.013|Music Wire|None|
||M-65|0.125|1.750|0.660|0.200|1.500|1.200|0.016|Stainless|None|
||5421|0.140|0.440|2.100|0.100|0.490|1.100|0.014|Music Wire|None|
||ZZ3-7|0.140|0.630|1.800|0.200|0.520|1.100|0.016|Stainless|None|
||5330|0.140|1.310|0.360|0.090|2.900|1.100|0.014|Music Wire|Zinc|
||259-A|0.140|1.500|0.300|0.100|3.500|1.100|0.014|Music Wire|Zinc|
||259-B|0.140|1.880|0.230|0.100|4.500|1.100|0.014|Music Wire|Zinc|
||259-C|0.140|2.500|0.170|0.100|6.200|1.100|0.014|Music Wire|Zinc|
CALL||5423|0.140|2.500|0.180|0.100|5.900|1.100|0.014|Music Wire|None|
